,COUNTRY,ISO3,WHO_REGION,DATE_UPDATED,TOTAL_VACCINATIONS,PERSONS_VACCINATED_1PLUS_DOSE,TOTAL_VACCINATIONS_PER100,PERSONS_VACCINATED_1PLUS_DOSE_PER100,PERSONS_FULLY_VACCINATED,PERSONS_FULLY_VACCINATED_PER100,VACCINES_USED,NUMBER_VACCINES_TYPES_USED
0,Afghanistan,AFG,EMRO,01/06/2022,6171652,5456919.0,15.854,14.018,4807917.0,12.351,"AstraZeneca - Vaxzevria,Beijing CNBG - BBIBP-CorV,Bharat - Covaxin,CanSino - Convidecia,Gamaleya - Gam-Covid-Vac,Gamaleya - Sputnik-Light,Janssen - Ad26.COV 2-S,Moderna - Spikevax,Pfizer BioNTech - Comirnaty,SII - Covishield,Sinovac - CoronaVac",11.0
1,Albania,ALB,EURO,29/05/2022,2873654,1320244.0,99.9,46.39,1241712.0,43.631,"AstraZeneca - Vaxzevria,Gamaleya - Gam-Covid-Vac,Pfizer BioNTech - Comirnaty,SII - Covishield,Sinovac - CoronaVac",5.0
2,Algeria,DZA,AFRO,05/06/2022,15205854,7840131.0,34.676,17.879,6481186.0,14.78,"Beijing CNBG - BBIBP-CorV,Gamaleya - Gam-Covid-Vac,SII - Covishield,Sinovac - CoronaVac",4.0
3,American Samoa,ASM,WPRO,05/06/2022,108220,44456.0,196.061,80.541,40945.0,74.18,"Janssen - Ad26.COV 2-S,Moderna - Spikevax,Pfizer BioNTech - Comirnaty",3.0
4,Andorra,AND,EURO,29/05/2022,153072,57880.0,198.1,75.981,53450.0,70.166,"AstraZeneca - Vaxzevria,Moderna - Spikevax,Pfizer BioNTech - Comirnaty",3.0
5,Angola,AGO,AFRO,05/06/2022,19486927,12700926.0,59.292,38.644,6811268.0,20.724,SII - Covishield,1.0
6,Anguilla,AIA,AMRO,03/06/2022,23601,10746.0,157.319,71.63,10054.0,67.018,"AstraZeneca - Vaxzevria,Pfizer BioNTech - Comirnaty",2.0
7,Antigua and Barbuda,ATG,AMRO,03/06/2022,135715,63995.0,138.585,65.348,61882.0,63.191,"AstraZeneca - Vaxzevria,Beijing CNBG - BBIBP-CorV,Gamaleya - Gam-Covid-Vac,Janssen - Ad26.COV 2-S,Pfizer BioNTech - Comirnaty,SII - Covishield",6.0
8,Argentina,ARG,AMRO,03/06/2022,102986910,41110433.0,227.868,90.961,37483237.0,82.935,"AstraZeneca - Vaxzevria,Beijing CNBG - BBIBP-CorV,CanSino - Convidecia,Gamaleya - Gam-Covid-Vac,Moderna - Spikevax,Pfizer BioNTech - Comirnaty,SII - Covishield",7.0
9,Armenia,ARM,EURO,22/05/2022,2150112,1129669.0,72.6,38.123,985807.0,33.268,"AstraZeneca - Vaxzevria,Beijing CNBG - BBIBP-CorV,Gamaleya - Gam-Covid-Vac,Gamaleya - Sputnik-Light,Moderna - Spikevax,Pfizer BioNTech - Comirnaty,Sinovac - CoronaVac,Wuhan CNBG - Inactivated",8.0
10,Aruba,ABW,AMRO,03/06/2022,171243,88853.0,160.391,83.222,82390.0,77.169,"Janssen - Ad26.COV 2-S,Pfizer BioNTech - Comirnaty",2.0
11,Australia,AUS,WPRO,05/06/2022,59172637,22318568.0,232.051,87.524,21612293.0,84.754,"AstraZeneca - Vaxzevria,Janssen - Ad26.COV 2-S,Moderna - Spikevax,Novavax-NUVAXOVID,Pfizer BioNTech - Comirnaty",5.0
12,Austria,AUT,EURO,29/05/2022,18360721,6828403.0,206.3,76.714,6618435.0,74.356,"AstraZeneca - Vaxzevria,Janssen - Ad26.COV 2-S,Moderna - Spikevax,Novavax-NUVAXOVID,Pfizer BioNTech - Comirnaty,Unknown Vaccine",6.0
13,Azerbaijan,AZE,EURO,29/05/2022,13594097,5372656.0,134.1,52.989,4853656.0,47.87,"AstraZeneca - Vaxzevria,Gamaleya - Gam-Covid-Vac,Gamaleya - Sputnik-Light,Pfizer BioNTech - Comirnaty,Sinovac - CoronaVac",5.0
14,Bahamas,BHS,AMRO,03/06/2022,340866,166471.0,86.681,42.333,157964.0,40.169,"AstraZeneca - Vaxzevria,Janssen - Ad26.COV 2-S,Pfizer BioNTech - Comirnaty,SII - Covishield",4.0
15,Bahrain,BHR,EMRO,01/06/2022,3444799,1236895.0,202.448,72.691,1220655.0,71.737,"AstraZeneca - Vaxzevria,Beijing CNBG - BBIBP-CorV,Bharat - Covaxin,CanSino - Convidecia,Gamaleya - Gam-Covid-Vac,Gamaleya - Sputnik-Light,Janssen - Ad26.COV 2-S,Moderna - Spikevax,Pfizer BioNTech - Comirnaty,SII - Covishield,Sinovac - CoronaVac",11.0
16,Bangladesh,BGD,SEARO,07/06/2022,269401356,129092630.0,163.581,78.386,118088249.0,71.704,"AstraZeneca - Vaxzevria,Beijing CNBG - BBIBP-CorV,Gamaleya - Gam-Covid-Vac,Janssen - Ad26.COV 2-S,Moderna - Spikevax,Pfizer BioNTech - Comirnaty,SII - Covishield,Sinovac - CoronaVac",8.0
17,Barbados,BRB,AMRO,03/06/2022,363262,162385.0,126.407,56.506,152808.0,53.174,"AstraZeneca - Vaxzevria,Beijing CNBG - BBIBP-CorV,Janssen - Ad26.COV 2-S,Pfizer BioNTech - Comirnaty,SII - Covishield",5.0
18,Belarus,BLR,EURO,29/05/2022,13054679,6388371.0,138.2,67.607,6237709.0,66.012,"Beijing CNBG - BBIBP-CorV,Chumakov - Covi-Vac,Gamaleya - Gam-Covid-Vac,Gamaleya - Sputnik-Light",4.0
19,Belgium,BEL,EURO,29/05/2022,25357830,9234117.0,220.1,80.14,9136723.0,79.295,"AstraZeneca - Vaxzevria,Janssen - Ad26.COV 2-S,Moderna - Spikevax,Pfizer BioNTech - Comirnaty",4.0
20,Belize,BLZ,AMRO,03/06/2022,478096,237860.0,120.237,59.82,212057.0,53.33,"AstraZeneca - Vaxzevria,Beijing CNBG - BBIBP-CorV,Janssen - Ad26.COV 2-S,Pfizer BioNTech - Comirnaty,SII - Covishield",5.0
21,Benin,BEN,AFRO,05/06/2022,4156907,3638324.0,34.289,30.011,2690085.0,22.19,"AstraZeneca - Vaxzevria,Janssen - Ad26.COV 2-S,Pfizer BioNTech - Comirnaty,SII - Covishield,Sinovac - CoronaVac",5.0
22,Bermuda,BMU,AMRO,03/06/2022,131612,48554.0,211.347,77.97,47657.0,76.529,"AstraZeneca - Vaxzevria,Pfizer BioNTech - Comirnaty",2.0
23,Bhutan,BTN,SEARO,05/06/2022,1909762,692874.0,247.504,89.796,672508.0,87.157,"AstraZeneca - Vaxzevria,Beijing CNBG - BBIBP-CorV,Moderna - Spikevax,Pfizer BioNTech - Comirnaty,SII - Covishield",5.0
24,Bolivia (Plurinational State of),BOL,AMRO,03/06/2022,13939699,7213127.0,119.418,61.793,5980603.0,51.234,"Beijing CNBG - BBIBP-CorV,Gamaleya - Gam-Covid-Vac,Janssen - Ad26.COV 2-S,Moderna - Spikevax,Pfizer BioNTech - Comirnaty,SII - Covishield",6.0
25,Bonaire,XAA,AMRO,03/06/2022,41250,17523.0,197.227,83.782,15841.0,75.74,Pfizer/BioNTech,1.0
